code,title,crn,meets,professor,start_date
ACTG 20200,Accounting Analysis for Planning and Control,25752,MWF 10:30-11:20a,E. Hums,2024-01-16
ACTG 20200,Accounting Analysis for Planning and Control,25757,MW 2-3:15p,M. Favorite,2024-01-16
ACTG 20200,Accounting Analysis for Planning and Control,31178,MWF 8:20-9:10a,J. Boulos,2024-01-16
AFST 10550,Intermediate/Advance Swahili Reading and Writing,32394,T 11a-12:15p,G. Jackson,2024-01-16
AFST 10551,Topics in Swahili Language & Culture,32393,T 2-2:50p,G. Jackson,2024-01-16
AFST 10576,Beginning II Creole,32080,TTh 12:30-1:45p,K. Richman,2024-01-16
AFST 10577,Beginning Swahili I,32315,MWF 2-2:50p,G. Jackson,2024-01-16
AFST 10578,Intermediate Swahili I,32317,Th 11a-12:15p,G. Jackson,2024-01-16
AFST 10581,Beginning Swahili II,32316,MWF 3:30-4:20p,G. Jackson,2024-01-16
AFST 20082,Introduction to Africana Studies,26207,TTh 2-3:15p,S. Barton,2024-01-16
AFST 20082,Introduction to Africana Studies,26208,TTh 2-3:15p,S. Barton,2024-01-16
AFST 20082,Introduction to Africana Studies,26557,TTh 2-3:15p,S. Barton,2024-01-16
AFST 20082,Introduction to Africana Studies,26703,TTh 2-3:15p,S. Barton,2024-01-16
AFST 20216,Atlantic Slavery,33002,MW 3:30-4:20p,K. Graubart,2024-01-16
AFST 20302,God & Slavery in the Americas,28590,TTh 9:30-10:45a,D. Lantigua,2024-01-16
AFST 20401,Introduction to Jazz,22245,TTh 11a-12:15p,L. Dwyer,2024-01-16
AFST 20600,World Politics: An Introduction to Comparative Politics,29286,TTh 9:30-10:45a,A. Gould,2024-01-16
AFST 20781,Introduction to Latino Studies,23025,MW 12:30-1:45p,A. Chavez,2024-01-16
AFST 30001,Investigative Reporting,25183,TTh 9:30-10:45a,B. O'Shaughnessy,2024-01-16
AFST 30077,Food Movement Voices of Change,32314,TTh 12:30-1:45p,S. Barton,2024-01-16
AFST 30102,African American Autobiography,31701,TTh 9:30-10:45a,M. Sanders,2024-01-16
AFST 30104,History of American Capitalism,29248,TTh 2-3:15p,K. Garibaldi,2024-01-16
AFST 30105,The Ideas that Made America,27880,TTh 3:30-4:45p,P. Cajka,2024-01-16
AFST 30114,Race and American Popular Culture,32392,TTh 12:30-1:45p,J. Ruiz,2024-01-16
AFST 30215,Witnessing the Sixties,25048,TTh 11a-12:15p,P. Cajka,2024-01-16
AFST 30232,American Slavery,27849,TTh 11a-12:15p,Z. Sell,2024-01-16
AFST 30245,Multiculturalism and American Literature,32629,MW 9:30-10:45a,E. Cheuk,2024-01-16
AFST 30246,Early America Today,32343,TTh 12:30-1:45p,L. Daen,2024-01-16
AFST 30260,Africa before Colonization,33007,MW 9:30-10:45a,I. Szepesi,2024-01-16
AFST 30298,Gender and Colonization in Latin America,33005,MW 11a-12:15p,K. Graubart,2024-01-16
AFST 30601,Race/Ethnicity and American Politics,32486,TTh 2-3:15p,D. Pinderhughes,2024-01-16
AFST 30682,Black Political Thought,27851,MW 9:30-10:45a,B. Forjwuor,2024-01-16
AFST 30691,Indigeneity in Global Context,32821,MW 11a-12:15p,S. Fisher,2024-01-16
AFST 30692,Migrants and Mobility in the Age of Mass Movement,32822,MW 12:30-1:45p,R. Luminiello,2024-01-16
AFST 33004,Literature for Children,26480,TTh 12:30-1:45p,J. Morrell,2024-01-16
AFST 33102,Issues of Diversity in Young Adult Literature,32611,MW 9:30-10:45a,M. Macaluso,2024-01-16
AFST 40117,African Literature and the Moral Imagination,32562,TTh 9:30-10:45a,P. Odozor,2024-01-16
AFST 40711,Prisons and Policing in the United States,32483,TTh 3:30-4:45p,P. Butler,2024-01-16
AFST 41675,"Policy Lab: Faith Communities, International Migration, and Refugee Protection",32823,TTh 5:05-6:20p,D. Kerwin,2024-02-20
AFST 43102,Law and Utopia in Atlantic America,29193,MW 2-3:15p,C. Johnson-Roullier,2024-01-16
AFST 43644,Black Politics in Multiracial America,32677,TTh 9:30-10:45a,D. Pinderhughes,2024-01-16
AFST 45100,Internship,25731,TBA,B. Forjwuor,2024-01-16
AFST 46100,Directed Readings,23739,TBA,D. Pinderhughes,2024-01-16
AFST 46100,Directed Readings,23740,TBA,M. McKenna,2024-01-16
AFST 46100,Directed Readings,27237,TBA,B. Forjwuor,2024-01-16
AFST 48100,Thesis,23370,TBA,B. Forjwuor,2024-01-16
AL 10002,Driscoll Scholars: Navigating Notre Dame,27199,F 9:25-10:15a,M. Dawson,2024-01-16
AL 20001,Health Professions Toolkit: Building Core Competencies for the Health Professions,26660,M 3:30-4:45p,M. Dawson,2024-03-18
AL 20002,Pre-Departure Summer Study Abroad,27454,TBA,M. Flannery,2024-01-16
AL 25001,Internship,25051,TBA,M. Dawson,2024-01-16
AL 25001,Internship,25052,TBA,N. Russo,2024-01-16
AL 25001,Internship,25053,TBA,C. Meissner,2024-01-16
AL 25001,Internship,25054,TBA,J. Stanfiel,2024-01-16
AL 25001,Internship,25733,TBA,D. Hampton,2024-01-16
AL 25001,Internship,26219,TBA,M. O'Callaghan,2024-01-16
AL 25002,Internship: Reflection,20974,TBA,J. Stanfiel,2024-01-16
AL 25002,Internship: Reflection,25055,TBA,N. Russo,2024-01-16
AL 25002,Internship: Reflection,25056,TBA,M. Dawson,2024-01-16
AL 25002,Internship: Reflection,25057,TBA,C. Meissner,2024-01-16
AL 25002,Internship: Reflection,25732,TBA,D. Hampton,2024-01-16
AL 25002,Internship: Reflection,26218,TBA,M. O'Callaghan,2024-01-16
AL 26101,Directed Readings for Self-Designed Majors: Directed Readings,22722,TBA,C. Meissner,2024-01-16
AL 26101,Directed Readings for Self-Designed Majors: Directed Readings,25409,TBA,J. Stanfiel,2024-01-16
AL 27001,Special Studies,20480,TBA,N. Russo,2024-01-16
AL 27001,Special Studies,20517,TBA,J. Stanfiel,2024-01-16
AL 27001,Special Studies,25408,TBA,C. Meissner,2024-01-16
AL 27001,Special Studies,26217,TBA,TBD,2024-01-16
AL 48901,Intercultural Communication and the American Campus,24141,Th 5-6:30p,A. Li,2024-01-16
ALHN 13186,Honors Seminar,27208,TTh 2-3:15p,R. Sullivan,2024-01-16
ALHN 13186,Honors Seminar,27855,TTh 12:30-1:45p,E. Ragland,2024-01-16
ALHN 13186,Honors Seminar,27856,TTh 11a-12:15p,V. Miseres,2024-01-16
ALHN 13186,Honors Seminar,27857,TTh 3:30-4:45p,M. Kilbane,2024-01-16
ALHN 13186,Honors Seminar,27858,TTh 2-3:15p,L. Jensen,2024-01-16
ALHN 13186,Honors Seminar,27859,MW 2-3:15p,J. Snyder,2024-01-16
ALHN 13186,Honors Seminar,27860,MW 11a-12:15p,M. Pippenger,2024-01-16
ALHN 13186,Honors Seminar,27861,TTh 12:30-1:45p,S. Monta,2024-01-16
ALHN 13950,Honors Seminar,27048,MW 2-3:15p,J. Snyder,2024-01-16
ALHN 13950,Honors Seminar,33067,TTh 3:30-4:45p,M. Kilbane,2024-01-16
ALHN 33000,The Cinematic World of Alfred Hitchcock,31313,TTh 11a-12:15p,M. Roche,2024-01-16
ALHN 42351,Glynn Senior Thesis Writing and Discussion,24090,F 6-7p,S. Srinivasan,2024-01-16
ALHN 42351,Glynn Senior Thesis Writing and Discussion,24091,F 6-7p,H. Goodson,2024-01-16
ALHN 42351,Glynn Senior Thesis Writing and Discussion,24092,Th 6-7p,J. Snyder,2024-01-16
ALHN 48980,Senior Honors Thesis,20668,TBA,M. Meserve,2024-01-16
ALSF 20255,"Work, Meaning, and Happiness",32553,MW 12:30-1:45p,P. Blaschko,2024-01-16
ALSF 20255,"Work, Meaning, and Happiness",32925,MW 8-9:15a,R. Jensen,2024-01-16
ALSF 30147,Media Entrepreneurship,27889,W 12:30-1:45p,C. Hedlin,2024-01-16
ALSF 30147,Media Entrepreneurship,29402,W 12:30-1:45p,C. Hedlin,2024-01-16
ALSF 30147,Media Entrepreneurship,31150,W 12:30-1:45p,C. Hedlin,2024-01-16
ALSF 30903,Policy Lab: Sustainable Development Goals & the Role of Finance,32837,MW 5:05-6:20p,T. Kenney,2024-03-27
ALSF 32147,Media Entrepreneurship Discussion Section,32309,F 9:30-10:45a,C. Hedlin,2024-01-16
ALSF 32147,Media Entrepreneurship Discussion Section,32310,F 11a-12:15p,C. Hedlin,2024-01-16
ALSF 32147,Media Entrepreneurship Discussion Section,32311,F 2-3:15p,C. Hedlin,2024-01-16
ALSF 33126,Sheedy Family Program Enrichment Experiences,32554,TBA,P. Blaschko,2024-01-16
ALSF 43590,Sociology of Economic Life,32816,TTh 2-3:15p,L. Spillman,2024-01-16
ALSF 48001,Sheedy Program Honors Thesis,32817,TBA,C. Hedlin,2024-01-16
ALSF 48003,Sheedy Program Thesis Hours,32818,TBA,C. Hedlin,2024-01-16
AME 18491,Undergraduate Research,25918,TBA,M. Seelinger,2024-01-16
AME 20210,Introduction to Design Thinking in Engineering,26281,TTh 9:30-10:45a,C. Goehler,2024-01-16
AME 20216,AME Laboratory I,24519,TBA,P. Rumbach,2024-01-16
AME 20216,AME Laboratory I,29457,TBA,P. Rumbach,2024-01-16
AME 20217,AME Laboratory II,27610,TBA,M. Warren,2024-01-16
AME 20221,Mechanics I,25127,MWF 2-2:50p,TBD,2024-01-16
AME 20222,Mechanics II,20135,MWF 2-2:50p,M. Seelinger,2024-01-16
AME 20231,Thermodynamics,22452,TTh 9:30-10:45a,J. Powers,2024-01-16
AME 20241,Solid Mechanics,20118,MWF 9:25-10:15a,T. Ovaert,2024-01-16
AME 20241,Solid Mechanics,21175,MWF 12:50-1:40p,B. Weldon,2024-01-16
AME 20251,"Computing, Numerical Methods and Data Science in Engineering",27612,MWF 12:50-1:40p,R. McClarren,2024-01-16
AME 20290,Career Choices Mechanical Engineering,29217,W 9:25-10:15a,M. Seelinger,2024-01-16
AME 21216,AME Laboratory 1L,24647,W 3-5p,P. Rumbach,2024-01-16
AME 21216,AME Laboratory 1L,24648,T 1-3p,J. Ott,2024-01-16
AME 21216,AME Laboratory 1L,26278,Th 11a-1p,P. Rumbach,2024-01-16
AME 21216,AME Laboratory 1L,26279,T 3:30-5:30p,P. Rumbach,2024-01-16
AME 21216,AME Laboratory 1L,27613,T 1-3p,J. Ott,2024-01-16
AME 21216,AME Laboratory 1L,31293,W 3-5p,P. Rumbach,2024-01-16
AME 21217,AME Laboratory 2L,24680,T 3:30-5:30p,J. Ott,2024-01-16
AME 21217,AME Laboratory 2L,24681,Th 11a-1p,J. Ott,2024-01-16
AME 21217,AME Laboratory 2L,25128,W 3-5p,J. Ott,2024-01-16
AME 21217,AME Laboratory 2L,26851,T 1-3p,M. Warren,2024-01-16
AME 21217,AME Laboratory 2L,31305,T 1-3p,M. Warren,2024-01-16
AME 21267,Design Tools 1,24520,TTh 12:30-1:45p,C. Goehler,2024-01-16
AME 21267,Design Tools 1,24521,TTh 11a-12:15p,J. Wang,2024-01-16
AME 21267,Design Tools 1,27614,TTh 11a-12:15p,J. Wang,2024-01-16
AME 21268,Design Tools 2,24682,TTh 9:30-10:45a,M. Warren,2024-01-16
AME 21268,Design Tools 2,24683,TTh 2-3:15p,J. Wang,2024-01-16
AME 21268,Design Tools 2,31306,TTh 9:30-10:45a,M. Warren,2024-01-16
AME 28491,Undergraduate Research,25917,TBA,M. Seelinger,2024-01-16
AME 28491,Undergraduate Research,25922,TBA,M. Seelinger,2024-01-16
AME 28491,Undergraduate Research,25923,TBA,M. Seelinger,2024-01-16
AME 30314,"Differential Equations, Vibrations, and Control I",31294,MWF 8:20-9:10a,E. Jumper,2024-01-16
AME 30315,"Differential Equations, Vibrations, and Control II",20769,MWF 8:20-9:10a,P. Wensing,2024-01-16
AME 30315,"Differential Equations, Vibrations, and Control II",26850,MWF 8:20-9:10a,B. Goodwine,2024-01-16
AME 30332,Compressible Aerodynamics,20346,MWF 10:30-11:20a,J. MacArt,2024-01-16
AME 30333,Theoretical and Experimental Aerodynamics,20562,MWF 11:30a-12:20p,T. Juliano,2024-01-16
AME 30334,Heat Transfer,20979,MWF 12:50-1:40p,M. Rosenberger,2024-01-16
AME 30358,Mechatronics Lab Lecture,29233,TBA,P. Rumbach,2024-01-16
AME 30381,Orbital and Space Dynamics,20315,MWF 2-2:50p,K. Matous,2024-01-16
AME 30386,Introduction to Bioengineering,25357,MW 3:30-4:45p,Y. Wang,2024-01-16
AME 31358,Mechatronics Lab,29126,MF 10:30a-12:20p,P. Rumbach,2024-01-16
AME 36099,Directed Readings,23780,TBA,B. Goodwine,2024-01-16
